dates,local,imported
2/7/20,0,1
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,2
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,0
2/28/20,0,0
2/29/20,0,0
3/1/20,0,0
3/2/20,0,0
3/3/20,0,0
3/4/20,1,0
3/5/20,2,0
3/6/20,7,0
3/7/20,5,0
3/8/20,1,0
3/9/20,1,0
3/10/20,13,0
3/11/20,13,0
3/12/20,12,0
3/13/20,19,0
3/14/20,13,0
3/15/20,19,0
3/16/20,48,0
3/17/20,40,0
3/18/20,28,0
3/19/20,33,0
3/20/20,44,0
3/21/20,47,0
3/22/20,48,0
3/23/20,61,0
3/24/20,53,0
3/25/20,77,0
3/26/20,87,0
3/27/20,92,0
3/28/20,104,0
3/29/20,103,0
3/30/20,159,0
3/31/20,163,0
4/1/20,337,0
4/2/20,285,0
4/3/20,327,0
4/4/20,404,0
4/5/20,272,0
4/6/20,592,0
4/7/20,653,0
4/8/20,653,0
4/9/20,608,0
4/10/20,530,0
4/11/20,707,0
4/12/20,496,0
4/13/20,728,0
4/14/20,815,0
4/15/20,1147,0
4/16/20,831,0
4/17/20,1090,0
4/18/20,615,0
4/19/20,431,0
4/20/20,747,0
4/21/20,1212,0
4/22/20,963,0
4/23/20,213,0
4/24/20,6,0
