dates,local,imported
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,2
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,3
2/21/20,0,2
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,0
2/28/20,0,0
2/29/20,0,0
3/1/20,0,0
3/2/20,0,0
3/3/20,0,0
3/4/20,1,0
3/5/20,1,0
3/6/20,2,0
3/7/20,2,0
3/8/20,0,0
3/9/20,2,0
3/10/20,3,0
3/11/20,7,0
3/12/20,5,0
3/13/20,8,0
3/14/20,5,0
3/15/20,10,0
3/16/20,23,0
3/17/20,18,0
3/18/20,9,0
3/19/20,14,0
3/20/20,23,0
3/21/20,11,0
3/22/20,13,0
3/23/20,20,0
3/24/20,21,0
3/25/20,42,0
3/26/20,40,0
3/27/20,38,0
3/28/20,57,0
3/29/20,41,0
3/30/20,96,0
3/31/20,141,0
4/1/20,118,0
4/2/20,147,0
4/3/20,189,0
4/4/20,382,0
4/5/20,173,0
4/6/20,336,0
4/7/20,382,0
4/8/20,393,0
4/9/20,243,0
4/10/20,227,0
4/11/20,648,0
4/12/20,294,0
4/13/20,566,0
4/14/20,459,0
4/15/20,543,0
4/16/20,495,0
4/17/20,606,0
4/18/20,460,0
4/19/20,206,0
4/20/20,434,0
4/21/20,546,0
4/22/20,362,0
4/23/20,91,0
